Noise/Signal Ratio	TimeRatio	ads_cDBSCAN	ads_kDBSCAN	clusters_cDBSCAN	clusters_kBSCAN
0.0	0.11139401655,0.115061409179,0.120132013201,0.123087159015,0.123241795044,0.12808539026,0.123828647925,0.126245847176,0.128495339547,0.126351351351	0.8536652898661713	0.8536652898661713	102	103
0.1	0.107099143207,0.114835505897,0.12389380531,0.11847133758,0.124282982792,0.126269035533,0.117094552286,0.125703564728,0.120906801008,0.127167630058	0.8536652898661713	0.8536652898661713	102	103
0.2	0.103986135182,0.108124253286,0.120679199515,0.119927316778,0.120195241001,0.11757925072,0.111111111111,0.120584652862,0.119075829384,0.115268557634	0.8536652898661713	0.8536652898661713	102	103
0.3	0.103148751357,0.113525258012,0.11466058186,0.11388727484,0.113033448674,0.119428571429,0.109420713868,0.115362649914,0.110709117221,0.126113776559	0.8536652898661713	0.8536652898661713	102	103
0.4	0.0976267529666,0.111171366594,0.108981380066,0.0959629384514,0.0954575378539,0.0953038674033,0.096837944664,0.0964332892999,0.100475220638,0.136705399863	0.8536652898661713	0.8536652898661713	102	103
0.5	0.0965270684372,0.109473684211,0.112825971261,0.111888111888,0.113562970936,0.110873058382,0.111466666667,0.112721417069,0.113034072472,0.106406080347	0.8536652898661713	0.8536652898661713	102	103
0.6	0.0938123752495,0.106639839034,0.110667996012,0.110719677906,0.108080288214,0.108409321175,0.109406952965,0.110252447192,0.107858243451,0.106839740389	0.8536652898661713	0.8536652898661713	102	103
0.7	0.0927536231884,0.139909735654,0.12167749557,0.0924112607099,0.114713216958,0.0809061488673,0.0939639079029,0.0755,0.0933416303671,0.0954838709677	0.8536652898661713	0.8536652898661713	102	103
0.8	0.106892523364,0.093730208993,0.0943037974684,0.0866551126516,0.0897369778236,0.112170499159,0.0909574468085,0.0858085808581,0.0944444444444,0.0978494623656	0.8536652898661713	0.8536652898661713	102	103
0.9	0.0909090909091,0.102517985612,0.102390617952,0.103926096998,0.103416435826,0.102714932127,0.102304147465,0.102068965517,0.100045892611,0.0984215413185	0.8536652898661713	0.8536652898661713	102	103
1.0	0.090554592721,0.101462117856,0.100448430493,0.0996441281139,0.101527403414,0.101793721973,0.101769911504,0.0988194140796,0.101548269581,0.104757548033	0.8536652898661713	0.8536652898661713	102	103
3.0	0.106543900033,0.0765630224005,0.0788878111866,0.0795004568992,0.0702054794521,0.0929419986024,0.0844748858447,0.0790411402656,0.0709438618137,0.0748680738786	0.8536652898661713	0.8536652898661713	102	103
5.0	0.073108008817,0.078469269424,0.0739957716702,0.0805976017299,0.0765145554681,0.0795813586098,0.0748620961387,0.0807799442897,0.0689243027888,0.0780971258672	0.8536652898661713	0.8536652898661713	102	103
7.0	0.0720590363189,0.0697674418605,0.0721634113613,0.0723039215686,0.0711322783838,0.0715610510046,0.0703293321022,0.0714175773434,0.0720177664975,0.0640202702703	0.8536652898661713	0.8536652898661713	102	103
9.0	0.0757851339881,0.0729064039409,0.0708552796589,0.0706789733215,0.071960611034,0.0718071680969,0.0707707833985,0.0748767194394,0.0738999869435,0.0697779111645	0.8536652898661713	0.8536652898661713	102	103
11.0	0.0755020080321,0.0699768458966,0.0709745762712,0.0728595125686,0.0748161298504,0.0698424993545,0.0702407875482,0.0735432016075,0.0687924016282,0.0642385667138	0.8536652898661713	0.8536652898661713	102	103
13.0	0.067634520106,0.061852648036,0.0831311319759,0.0799727365671,0.0730432806998,0.0717402873869,0.0646473779385,0.0772767075306,0.0638208390285,0.0691483231532	0.8536652898661713	0.8536652898661713	102	103
15.0	0.0734463276836,0.074947841438,0.073146784487,0.0731847238158,0.0715279482773,0.0736753574432,0.0820256089342,0.0655787246902,0.0668686868687,0.0736461368432	0.8536652898661713	0.8536652898661713	102	103
17.0	0.0735335990888,0.0723249909322,0.07205303803,0.0724467303453,0.0684152198005,0.081964533791,0.0678089682829,0.0631868131868,0.0726631074111,0.068609823034	0.8536652898661713	0.8536652898661713	102	103
19.0	0.0949720670391,0.067974994065,0.0765496034957,0.0742690532113,0.0793932548007,0.0745235316997,0.0701525054466,0.0657080087877,0.0782555944999,0.0838872528397	0.8536652898661713	0.8536652898661713	102	103
20.0	0.0749596990865,0.0702360814886,0.0724909973383,0.0752398319194,0.0755152260843,0.0677530017153,0.0718629076838,0.0658635683228,0.0718558161499,0.0704035518909	0.8536652898661713	0.8536652898661713	102	103
25.0	0.0703766780204,0.0714029238266,0.0705075726566,0.072618985424,0.0701707434566,0.0681182471343,0.0711467648606,0.0666219266671,0.0660953899296,0.0692007151844	0.8536652898661713	0.8536652898661713	102	103
30.0	0.0726321164156,0.069594214196,0.0731184676608,0.0722846789928,0.0686925933164,0.0752244066303,0.0618882544861,0.075540374062,0.0671919214337,0.0707104187383	0.8536652898661713	0.8536652898661713	102	103
35.0	0.0712691771269,0.0705844778026,0.0678701371397,0.0793322295806,0.0696136125177,0.0721720707443,0.0662966113076,0.0719061970239,0.068836565097,0.0661389292239	0.8536652898661713	0.8536652898661713	102	103
40.0	0.0669611168073,0.0694295155062,0.0732941176471,0.0711499092279,0.0687577317531,0.0720535447203,0.0626173841184,0.0730613116855,0.0709198938098,0.0758136566688	0.8536652898661713	0.8536652898661713	102	103
45.0	0.0687191402846,0.0803664921466,0.0681081081081,0.0702511908434,0.0838470134458,0.0671821480652,0.0719741684605,0.0735609198686,0.0710585781331,0.0676072274672	0.8536652898661713	0.8536652898661713	102	103
50.0	0.0817080681585,0.0678284694788,0.0750474569614,0.077331090915,0.0774645537948,0.0726896823313,0.0732685535412,0.0722584301502,0.0921711797256,0.0583917616126	0.8536652898661713	0.8536652898661713	102	103
